Region_id,ZIP,City,Lat,Lng
305,3354,Wolfsbach,48.07883,14.66953
305,3341,Ybbsitz,47.94724,14.89511
305,3311,Zeillern,48.12933,14.80803
306,2534,Alland,48.05839,16.07839
306,2571,Altenmarkt-Thenneberg,48.01667,15.98333
306,2540,Bad Vöslau,47.96539,16.21404
306,2500,Baden,48.00613,16.23238
306,2560,Berndorf,47.94582,16.10952
306,2602,Blumau-Neurißhof,47.92686,16.30238
306,2443,Deutsch Brodersdorf,47.9388,16.47347
306,2483,Ebreichsdorf,47.96335,16.40261
306,2551,Enzesfeld-Lindabrunn,47.91225,16.17115
306,2525,Günselsdorf,47.94395,16.2602
306,2532,Heiligenkreuz,48.05602,16.128
306,2552,Hirtenberg,47.93096,16.17595
306,2533,Klausen-Leopoldsdorf,48.08821,16.01507
306,2542,Kottingbrunn,47.95137,16.22853
306,2544,Leobersdorf,47.92819,16.21651
306,2441,Mitterndorf an der Fischa,47.99808,16.47226
306,2565,Neuhaus,47.9961,16.04584
306,2522,Oberwaltersdorf,47.97577,16.32209
306,2511,Pfaffstätten,48.01788,16.26373
306,2486,Pottendorf,47.90985,16.38622
306,2563,Pottenstein,47.95821,16.0959
306,2444,Seibersdorf,47.95954,16.51795
306,2523,Tattendorf,47.95658,16.30208
306,2524,Teesdorf,47.9484,16.28354
306,2514,Traiskirchen,48.01527,16.29283
306,2512,Tribuswinkel,48.0065,16.27069
306,2521,Trumau,47.99338,16.34228
306,2442,Unterwaltersdorf,47.96063,16.43073
306,2485,Wampersdorf,47.92264,16.4281
306,2564,Weissenbach an der Triesting,47.98221,16.0397
307,2405,Bad Deutsch Altenburg,48.13459,16.90627
307,2413,Berg,48.1035,17.03936
307,2460,Bruck an der Leitha,48.02552,16.77899
307,2464,Göttlesbrunn,48.05583,16.7386
307,2434,Götzendorf an der Leitha,48.01442,16.58112
307,2410,Hainburg an der Donau,48.14761,16.94205
307,2451,Hof am Leithaberge,47.94385,16.57863
307,2465,Höflein,47.90406,16.66352
307,2452,Mannersdorf am Leithagebirge,47.97411,16.60297
307,2433,Margarethen am Moos,48.04381,16.60365
307,2402,Maria Ellend,48.11172,16.68663
307,2404,Petronell,48.11365,16.868
307,2472,Prellenkirchen,48.07501,16.95199
